"","sub_id","common_name","sci_name","tax_order","count_raw","state","county","loc","locid","lat","lon","date","time","protocol","distance_traveled","area_covered","all_obs","breed_code","checklist_comments","observers","vehicles","weather","notes","count","year","mbbs_county","route_num","stop_num"
"1","S88292220","Canada Goose","Branta canadensis",303,"1","US-NC","Chatham","MBBS, Chatham Co, Route 14-19","L14965577",35.817586,-78.9428178,2021-05-16,"07:39 AM","eBird - Stationary Count",NA,NA,1,"","vehicles=0; habitat=M,S; notes=drove too far to the field",NA,NA,NA,NA,1,2021,"chatham",14,19
"2","S88308731","Canada Goose","Branta canadensis",303,"3","US-NC","Chatham","MBBS, Chatham Co, Route 2-20","L11471483",35.8124578,-79.1076962,2021-05-16,"08:19 AM","eBird - Stationary Count",NA,NA,1,"","Vehicles=6; habitat=o,bo",NA,NA,NA,NA,3,2021,"chatham",2,20
"3","S89832205","Canada Goose","Branta canadensis",303,"29","US-NC","Chatham","MBBS, Chatham, Route 1-20","L15266049",35.846079,-79.098248,2021-06-06,"08:35 AM","eBird - Casual Observation",NA,NA,0,"","V7, H= m, b",NA,NA,NA,NA,29,2021,"chatham",1,20
"4","S89483759","Canada Goose","Branta canadensis",303,"9","US-NC","Chatham","MBBS, Chatham, Route 12-17","L15210114",35.666845,-79.433407,2021-06-02,"07:39 AM","eBird - Stationary Count",NA,NA,1,"","Vehicles=3; habitat=B, H",NA,NA,NA,NA,9,2021,"chatham",12,17
"5","S89483750","Canada Goose","Branta canadensis",303,"2","US-NC","Chatham","MBBS, Chatham, Route 12-8","L15212045",35.634097,-79.492706,2021-06-02,"06:27 AM","eBird - Stationary Count",NA,NA,1,"","Vehicles=4; habitat=O, S",NA,NA,NA,NA,2,2021,"chatham",12,8
"6","S6921166","Canada Goose","Branta canadensis",303,"0","US-NC","Chatham","MBBS, NC, Chatham Co, Route 01, Russell Chapel Road","L999581",35.76855,-79.18405,2010-06-05,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Chatham Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;P. Bailey; weather&#61;clear, 60F, light wind, no rain; vehicles&#61;99",NA,NA,"clear, 60F, light wind, no rain",NA,0,2010,"chatham",1,NA
"7","S23488877","Canada Goose","Branta canadensis",303,"1","US-NC","Chatham","MBBS, NC, Chatham Co, Route 01, Russell Chapel Road","L999581",35.76855,-79.18405,2015-05-17,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observer&#61;Patsy Bailey; weather&#61;62 F; vehicles&#61;54; notes&#61;during 15 minutes before start heard one distant whip-poor-will","Patsy Bailey",54,"62 F",NA,1,2015,"chatham",1,NA
"8","S6560523","Canada Goose","Branta canadensis",303,"0","US-NC","Chatham","MBBS, NC, Chatham Co, Route 02, Mason Neck","L935743",35.86032,-78.9906,2010-06-20,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;N. Budnitz, M. Schultz; weather&#61;overcast to clear, 75F, wind calm, no rain; vehicles&#61;50",NA,NA,"overcast to clear, 75F, wind calm, no rain",NA,0,2010,"chatham",2,NA
"9","S8248021","Canada Goose","Branta canadensis",303,"2","US-NC","Chatham","MBBS, NC, Chatham Co, Route 02, Mason Neck","L935743",35.86032,-78.9906,2011-05-15,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Observers=Norm Budnitz, Mike Schultz; Weather=60-70F, wind calm, sky clear; Vehicles=49; Thirteen-year cicadas calling at every stop, sometimes quite loudly.",NA,NA,NA,NA,2,2011,"chatham",2,NA
"10","S10798041","Canada Goose","Branta canadensis",303,"2","US-NC","Chatham","MBBS, NC, Chatham Co, Route 02, Mason Neck","L935743",35.86032,-78.9906,2012-05-20,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Norm Budnitz, Mike Schultz; weather&#61;50-60F, wind calm to light and variable, sky clear; vehicles&#61;35.","Norm Budnitz, Mike Schultz",NA,NA,NA,2,2012,"chatham",2,NA
"11","S23514221","Canada Goose","Branta canadensis",303,"5","US-NC","Chatham","MBBS, NC, Chatham Co, Route 02, Mason Neck","L935743",35.86032,-78.9906,2015-05-17,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Norman Budnitz, Mike Schultz; weather&#61;65 F, overcast for first half, then partly cloudy, wind calm; vehicles&#61;62; habitat@1R&#61;PO; habitat@5L&#61;BP; habitat&#61;1P,PO, 2M,M, 3M,P, 4M,H, 5BP,BP, 6BS,BO, 7 M,B, 8B,B, 9BO,B, 10S,M, 11M,B, 12M,MW, 13M,P, 14S,S, 15S,B, 16BM,B, 17B,B, 18B,B, 19B,B, 20O,O; notes&#61;GBHE rookery in vicinity of stops 9-12","Norman Budnitz, Mike Schultz",62,"65 F, overcast for first half, then partly cloudy, wind calm",NA,5,2015,"chatham",2,NA
"12","S29684687","Canada Goose","Branta canadensis",303,"2","US-NC","Chatham","MBBS, NC, Chatham Co, Route 02, Mason Neck","L935743",35.86032,-78.9906,2016-05-15,"05:40 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Norman Budnitz, Mike Schultz; weather&#61;50 F, clear, wind calm to 10 mph; vehicles&#61;55; habitat@11L&#61;BM; habitat@18R&#61;BO; habitat&#61;1P,PO, 2M,M, 3M,P, 4M,H, 5BP,BP, 6BS,BO, 7M,B, 8B,B, 9BO,B, 10S,M, 11BM,B, 12M,MW, 13M,P, 14S,S, 15S,B, 16BM,B, 17B,B, 18B,BO, 19B,B, 20O,O; notes&#61;GBHE rookery in vicinity of stops 9-12, BLVU roost in vicinity of stops 7-9, Magnolia Warblers at stops 14 & 17, bridge construction at stop 12 required long detour","Norman Budnitz, Mike Schultz",55,"50 F, clear, wind calm to 10 mph",NA,2,2016,"chatham",2,NA
"13","S46075923","Canada Goose","Branta canadensis",303,"13","US-NC","Chatham","MBBS, NC, Chatham Co, Route 02, Mason Neck","L935743",35.86032,-78.9906,2018-05-27,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Norman Budnitz, Mike Schultz; weather&#61;70-75 F, clear, wind calm; vehicles&#61;90; habitat&#61;1P,PO, 2M,M, 3M,P, 4M,H, 5BP,BP, 6BS,BO, 7 M,B, 8B,B, 9BO,B, 10S,M, 11BM,B, 12M,MW, 13M,P, 14S,S, 15S,B, 16BM,B, 17B,B, 18B,BO, 19B,B, 20O,O; notes&#61;Osprey at stop 9 after time ran out","Norman Budnitz, Mike Schultz",90,NA,NA,13,2018,"chatham",2,NA
