route,date,time,observers,spec_code,common_name,count,year,route_num,hab_hm,hab_p,hab_o,hab_b,hab_other,vehicles,notes
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,KILL,Killdeer,3,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,MODO,Mourning Dove,10,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,WPWI,Whip-Poor-Will,2,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,CHSW,Chimney Swift,8,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,RBWO,Red-bellied Woodpecker,6,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,NOFL,N Flicker,2,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,PIWO,Pileated Woodpecker,2,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,EAWP,E Wood-Pewee,3,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,ACFL,Acadian Flycatcher,2,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,GCFL,Gr Crested Flycatcher,2,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,REVI,Red-eyed Vireo,19,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,BLJA,Blue Jay,1,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,AMCR,Am Crow,27,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,CACH,Carolina Chickadee,8,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,TUTI,Tufted Titmouse,13,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,CARW,Carolina Wren,3,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,BGGN,B-g Gnatcatcher,6,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,EABL,E Bluebird,9,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,WOTH,Wood Thrush,11,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,NOMO,N Mockingbird,3,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,BRTH,Brown Thrasher,4,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,EUST,Eur Starling,5,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
