route,date,time,observers,spec_code,common_name,count,year,route_num,hab_hm,hab_p,hab_o,hab_b,hab_other,vehicles,notes
,6/6/2002,5:30,Judy Murray,acci,Unidentified Accipter,1,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,RTHA,Red-tailed Hawk,0,2002,1,,,,,,,entered as 0 on website; This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,MODO,Mourning Dove,18,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,YBCU,Yellow-billed Cuckoo,1,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,CHSW,Chimney Swift,2,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,RTHU,Ruby-thr Hummingbird,1,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,RBWO,Red-bellied Woodpecker,9,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,DOWO,Downy Woodpecker,1,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,EAWP,E Wood-Pewee,3,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,EAPH,E Phoebe,3,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,GCFL,Gr Crested Flycatcher,3,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,REVI,Red-eyed Vireo,5,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,BLJA,Blue Jay,3,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,AMCR,Am Crow,15,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,BARS,Barn Swallow,12,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,CACH,Carolina Chickadee,5,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,TUTI,Tufted Titmouse,5,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,CARW,Carolina Wren,5,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
