"","date","time","observers","count","year","route_num","hab_hm","hab_p","hab_o","hab_b","hab_other","vehicles","common_name","spec_code","sci_name","tax_order","lat","lon","route","source","obs_id","sub_id","distance","all_obs","breed_code","species_comment","weather","notes","others"
"1",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Green Heron","GRHE","Butorides virescens",7130,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Turkey Vulture","TUVU","Cathartes aura",7281,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",28,1999,"1",NA,NA,NA,NA,NA,NA,"Canada Goose","CAGO","Branta canadensis",296,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",3,1999,"1",NA,NA,NA,NA,NA,NA,"Red-tailed Hawk","RTHA","Buteo jamaicensis",7953,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Northern Bobwhite","NOBO","Colinus virginianus",900,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",2,1999,"1",NA,NA,NA,NA,NA,NA,"Killdeer","KILL","Charadrius vociferus",5701,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",18,1999,"1",NA,NA,NA,NA,NA,NA,"Mourning Dove","MODO","Zenaida macroura",2323,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Yellow-billed Cuckoo","YBCU","Coccyzus americanus",3123,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",3,1999,"1",NA,NA,NA,NA,NA,NA,"Chimney Swift","CHSW","Chaetura pelagica",3741,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",4,1999,"1",NA,NA,NA,NA,NA,NA,"Red-bellied Woodpecker","RBWO","Melanerpes carolinus",10555,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Downy Woodpecker","DOWO","Dryobates pubescens",10740,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",6,1999,"1",NA,NA,NA,NA,NA,NA,"Eastern Wood-Pewee","EAWP","Contopus virens",15624,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Acadian Flycatcher","ACFL","Empidonax virescens",15666,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",2,1999,"1",NA,NA,NA,NA,NA,NA,"Eastern Phoebe","EAPH","Sayornis phoebe",15722,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Great Crested Flycatcher","GCFL","Myiarchus crinitus",16036,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",2,1999,"1",NA,NA,NA,NA,NA,NA,"Eastern Kingbird","EAKI","Tyrannus tyrannus",16168,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",10,1999,"1",NA,NA,NA,NA,NA,NA,"Red-eyed Vireo","REVI","Vireo olivaceus",19232,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",17,1999,"1",NA,NA,NA,NA,NA,NA,"American Crow","AMCR","Corvus brachyrhynchos",20471,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",12,1999,"1",NA,NA,NA,NA,NA,NA,"Barn Swallow","BARS","Hirundo rustica",21491,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",8,1999,"1",NA,NA,NA,NA,NA,NA,"Tufted Titmouse","TUTI","Baeolophus bicolor",21896,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"White-breasted Nuthatch","WBNU","Sitta carolinensis",22153,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",12,1999,"1",NA,NA,NA,NA,NA,NA,"Carolina Wren","CARW","Thryothorus ludovicianus",22486,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",9,1999,"1",NA,NA,NA,NA,NA,NA,"Blue-gray Gnatcatcher","BGGN","Polioptila caerulea",22806,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",9,1999,"1",NA,NA,NA,NA,NA,NA,"Eastern Bluebird","EABL","Sialia sialis",27571,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",4,1999,"1",NA,NA,NA,NA,NA,NA,"Wood Thrush","WOTH","Hylocichla mustelina",27787,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",2,1999,"1",NA,NA,NA,NA,NA,NA,"American Robin","AMRO","Turdus migratorius",27999,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Gray Catbird","GRCA","Dumetella carolinensis",28195,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",7,1999,"1",NA,NA,NA,NA,NA,NA,"Northern Mockingbird","NOMO","Mimus polyglottos",28303,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",17,1999,"1",NA,NA,NA,NA,NA,NA,"European Starling","EUST","Sturnus vulgaris",28432,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Pine Warbler","PIWA","Setophaga pinus",31809,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",3,1999,"1",NA,NA,NA,NA,NA,NA,"Ovenbird","OVEN","Seiurus aurocapilla",31625,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1999-06-06,"5:45 EDT","Ginger Travis, Barb Brooks",1,1999,"1",NA,NA,NA,NA,NA,NA,"Scarlet Tanager","SCTA","Piranga olivacea",32070,36.23185,-79.20792,"Route 01, Wade Loop","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
