"County_Route_Stop","County_Route","mbbs_county","route_num","stop_num","lat","lon","stop_notes","route_ID"
"Chatham-1-1","Chatham-01","chatham",1,1,35.768194,-79.18409,NA,301
"Chatham-1-2","Chatham-01","chatham",1,2,35.768061,-79.175666,NA,301
"Chatham-1-3","Chatham-01","chatham",1,3,35.767089,-79.165578,NA,301
"Chatham-1-4","Chatham-01","chatham",1,4,35.766264,-79.15756,NA,301
"Chatham-1-5","Chatham-01","chatham",1,5,35.771066,-79.151922,NA,301
"Chatham-1-6","Chatham-01","chatham",1,6,35.777919,-79.144074,NA,301
"Chatham-1-7","Chatham-01","chatham",1,7,35.784027,-79.147646,NA,301
"Chatham-1-8","Chatham-01","chatham",1,8,35.790649,-79.150232,NA,301
"Chatham-1-9","Chatham-01","chatham",1,9,35.796262,-79.150871,NA,301
"Chatham-1-10","Chatham-01","chatham",1,10,35.803606,-79.1532756,NA,301
"Chatham-1-11","Chatham-01","chatham",1,11,35.808863,-79.157316,NA,301
"Chatham-1-12","Chatham-01","chatham",1,12,35.815893,-79.153156,NA,301
"Chatham-1-13","Chatham-01","chatham",1,13,35.821153,-79.147977,NA,301
"Chatham-1-14","Chatham-01","chatham",1,14,35.8276,-79.143853,NA,301
"Chatham-1-15","Chatham-01","chatham",1,15,35.833699,-79.139403,NA,301
"Chatham-1-16","Chatham-01","chatham",1,16,35.840145,-79.134252,NA,301
"Chatham-1-17","Chatham-01","chatham",1,17,35.843794,-79.125918,NA,301
"Chatham-1-18","Chatham-01","chatham",1,18,35.846032,-79.116841,NA,301
"Chatham-1-19","Chatham-01","chatham",1,19,35.84653,-79.108612,NA,301
"Chatham-1-20","Chatham-01","chatham",1,20,35.846079,-79.098248,NA,301
"Chatham-2-1","Chatham-02","chatham",2,1,35.8602659,-78.990665,NA,302
"Chatham-2-2","Chatham-02","chatham",2,2,35.8639551,-78.9978547,NA,302
"Chatham-2-3","Chatham-02","chatham",2,3,35.86792,-79.00082,NA,302
"Chatham-2-4","Chatham-02","chatham",2,4,35.8625383,-79.0082845,NA,302
"Chatham-2-5","Chatham-02","chatham",2,5,35.8573224,-79.0144718,NA,302
"Chatham-2-6","Chatham-02","chatham",2,6,35.8520403,-79.0189869,NA,302
"Chatham-2-7","Chatham-02","chatham",2,7,35.8455345,-79.0258997,NA,302
"Chatham-2-8","Chatham-02","chatham",2,8,35.8381628,-79.0281508,NA,302
