County_Route_Stop,County_Route,mbbs_county,route_num,stop_num,lat,lon,notes
Chatham-1-1,Chatham-01,Chatham,1,01,35.768194,-79.18409,
Chatham-1-2,Chatham-01,Chatham,1,02,35.768061,-79.175666,
Chatham-1-3,Chatham-01,Chatham,1,03,35.767089,-79.165578,
Chatham-1-4,Chatham-01,Chatham,1,04,35.766264,-79.15756,
Chatham-1-5,Chatham-01,Chatham,1,05,35.771066,-79.151922,
Chatham-1-6,Chatham-01,Chatham,1,06,35.777919,-79.144074,
Chatham-1-7,Chatham-01,Chatham,1,07,35.784027,-79.147646,
Chatham-1-8,Chatham-01,Chatham,1,08,35.790649,-79.150232,
Chatham-1-9,Chatham-01,Chatham,1,09,35.796262,-79.150871,
Chatham-1-10,Chatham-01,Chatham,1,10,35.803606,-79.1532756,
Chatham-1-11,Chatham-01,Chatham,1,11,35.808863,-79.157316,
Chatham-1-12,Chatham-01,Chatham,1,12,35.815893,-79.153156,
Chatham-1-13,Chatham-01,Chatham,1,13,35.821153,-79.147977,
Chatham-1-14,Chatham-01,Chatham,1,14,35.8276,-79.143853,
Chatham-1-15,Chatham-01,Chatham,1,15,35.833699,-79.139403,
Chatham-1-16,Chatham-01,Chatham,1,16,35.840145,-79.134252,
Chatham-1-17,Chatham-01,Chatham,1,17,35.843794,-79.125918,
Chatham-1-18,Chatham-01,Chatham,1,18,35.846032,-79.116841,
Chatham-1-19,Chatham-01,Chatham,1,19,35.84653,-79.108612,
Chatham-1-20,Chatham-01,Chatham,1,20,35.846079,-79.098248,
Chatham-2-1,Chatham-02,Chatham,2,01,35.8602659,-78.990665,
Chatham-2-2,Chatham-02,Chatham,2,02,35.8639551,-78.9978547,
Chatham-2-3,Chatham-02,Chatham,2,03,35.86792,-79.00082,
Chatham-2-4,Chatham-02,Chatham,2,04,35.8625383,-79.0082845,
Chatham-2-5,Chatham-02,Chatham,2,05,35.8573224,-79.0144718,
Chatham-2-6,Chatham-02,Chatham,2,06,35.8520403,-79.0189869,
Chatham-2-7,Chatham-02,Chatham,2,07,35.8455345,-79.0258997,
Chatham-2-8,Chatham-02,Chatham,2,08,35.8381628,-79.0281508,
Chatham-2-9,Chatham-02,Chatham,2,09,35.831003,-79.0234399,
Chatham-2-10,Chatham-02,Chatham,2,10,35.8245885,-79.0182671,
Chatham-2-11,Chatham-02,Chatham,2,11,35.8190108,-79.0209792,
Chatham-2-12,Chatham-02,Chatham,2,12,35.8193091,-79.0293806,
Chatham-2-13,Chatham-02,Chatham,2,13,35.8199538,-79.0396638,
Chatham-2-14,Chatham-02,Chatham,2,14,35.8139108,-79.0445884,
Chatham-2-15,Chatham-02,Chatham,2,15,35.8145049,-79.0539119,
Chatham-2-16,Chatham-02,Chatham,2,16,35.8178023,-79.0617823,
Chatham-2-17,Chatham-02,Chatham,2,17,35.8154438,-79.0713797,
Chatham-2-18,Chatham-02,Chatham,2,18,35.8157816,-79.0799655,
Chatham-2-19,Chatham-02,Chatham,2,19,35.810236,-79.0974469,
Chatham-2-20,Chatham-02,Chatham,2,20,35.8124578,-79.1076962,
Chatham-3-1,Chatham-03,Chatham,3,01,35.6733378,-78.9858872,
Chatham-3-2,Chatham-03,Chatham,3,02,35.666351,-78.9801295,
Chatham-3-3,Chatham-03,Chatham,3,03,35.6595899,-78.9777834,
Chatham-3-4,Chatham-03,Chatham,3,04,35.655182,-78.9831765,
Chatham-3-5,Chatham-03,Chatham,3,05,35.6509829,-78.9907833,
Chatham-3-6,Chatham-03,Chatham,3,06,35.6473864,-78.99724,
Chatham-3-7,Chatham-03,Chatham,3,07,35.6431243,-79.0050542,
Chatham-3-8,Chatham-03,Chatham,3,08,35.6381369,-79.0035399,
Chatham-3-9,Chatham-03,Chatham,3,09,35.6319633,-79.0030893,
Chatham-3-10,Chatham-03,Chatham,3,10,35.6255625,-79.0025528,
Chatham-3-11,Chatham-03,Chatham,3,11,35.618867,-79.0027127,
Chatham-3-12,Chatham-03,Chatham,3,12,35.6123772,-79.0052136,
Chatham-3-13,Chatham-03,Chatham,3,13,35.6049423,-79.0050848,
Chatham-3-14,Chatham-03,Chatham,3,14,35.5985573,-79.0075727,
Chatham-3-15,Chatham-03,Chatham,3,15,35.592432,-79.0122105,
Chatham-3-16,Chatham-03,Chatham,3,16,35.586462,-79.0176232,
Chatham-3-17,Chatham-03,Chatham,3,17,35.5832378,-79.0214676,
Chatham-3-18,Chatham-03,Chatham,3,18,35.5823524,-79.0269309,
Chatham-3-19,Chatham-03,Chatham,3,19,35.5754405,-79.029214,
Chatham-3-20,Chatham-03,Chatham,3,20,35.567644,-79.0285998,
Chatham-4-1,Chatham-04,Chatham,4,01,35.5801738,-79.2743729,
Chatham-4-2,Chatham-04,Chatham,4,02,35.5728397,-79.2824815,
Chatham-4-3,Chatham-04,Chatham,4,03,35.5743843,-79.2867818,
Chatham-4-4,Chatham-04,Chatham,4,04,35.5789036,-79.2926441,
Chatham-4-5,Chatham-04,Chatham,4,05,35.5865283,-79.293837,
Chatham-4-6,Chatham-04,Chatham,4,06,35.596687,-79.3009093,
Chatham-4-7,Chatham-04,Chatham,4,07,35.5960411,-79.308629,
Chatham-4-8,Chatham-04,Chatham,4,08,35.5952532,-79.3185968,
Chatham-4-9,Chatham-04,Chatham,4,09,35.5927954,-79.3262783,
Chatham-4-10,Chatham-04,Chatham,4,10,35.5966128,-79.3260674,
Chatham-4-11,Chatham-04,Chatham,4,11,35.6036168,-79.3197012,
Chatham-4-12,Chatham-04,Chatham,4,12,35.6102677,-79.323178,
Chatham-4-13,Chatham-04,Chatham,4,13,35.6174446,-79.3258163,
Chatham-4-14,Chatham-04,Chatham,4,14,35.6214633,-79.3309071,
Chatham-4-15,Chatham-04,Chatham,4,15,35.6220722,-79.3399475,
Chatham-4-16,Chatham-04,Chatham,4,16,35.6305218,-79.3382976,
Chatham-4-17,Chatham-04,Chatham,4,17,35.6369013,-79.3400344,
Chatham-4-18,Chatham-04,Chatham,4,18,35.6486759,-79.3349673,
Chatham-4-19,Chatham-04,Chatham,4,19,35.6510179,-79.3424229,
Chatham-4-20,Chatham-04,Chatham,4,20,35.6452243,-79.3589087,
Chatham-5-1,Chatham-05,Chatham,5,01,35.66617,-79.48569,
Chatham-5-2,Chatham-05,Chatham,5,02,35.661167,-79.490189,
Chatham-5-3,Chatham-05,Chatham,5,03,35.6549811,-79.4861775,
Chatham-5-4,Chatham-05,Chatham,5,04,35.6549225,-79.4783964,
Chatham-5-5,Chatham-05,Chatham,5,05,35.650359,-79.47403,
Chatham-5-6,Chatham-05,Chatham,5,06,35.641631,-79.475362,
