mbbs_county,route,year,link,Note
chatham,4,2012,https://ebird.org/checklist/S10914666,
chatham,4,2013,https://ebird.org/checklist/S14418522,
chatham,11,2013,https://ebird.org/checklist/S14786431,
chatham,4,2014,https://ebird.org/checklist/S18551742,
chatham,3,2015,https://ebird.org/checklist/S23493324,
chatham,11,2016,https://ebird.org/checklist/S30696330,
chatham,4,2015,https://ebird.org/checklist/S23728955,
chatham,3,2016,https://ebird.org/checklist/S30095873,
chatham,4,2016,https://ebird.org/checklist/S30320694,
chatham,2,2017,https://ebird.org/checklist/S37236381,
chatham,3,2017,https://ebird.org/checklist/S37534504,
chatham,4,2017,https://ebird.org/checklist/S37597683,
chatham,8,2017,https://ebird.org/checklist/S37625135,
chatham,2,2018,https://ebird.org/checklist/S46075923,
chatham,4,2018,https://ebird.org/checklist/S46346482,
chatham,3,2018,https://ebird.org/checklist/S46296632,",,,,,1,,,"
chatham,2,2019,https://ebird.org/checklist/S57343578,
chatham,4,2019,https://ebird.org/checklist/S68956274,
chatham,3,2019,https://ebird.org/checklist/S57230615,
durham,2,2014,https://ebird.org/checklist/S18852699,In overall checklist note by quarter stops
durham,6,2017,https://ebird.org/checklist/S37468920,"Stops: 0,1,0, "
durham,5,2017,https://ebird.org/checklist/S37487024,
durham,3,2017,https://ebird.org/checklist/S37510488,"1=, 2=, 3="
durham,6,2018,https://ebird.org/checklist/S46302860,
durham,4,2018,https://ebird.org/checklist/S46457285,"Stops = 0,1,0,"
durham,3,2018,https://ebird.org/checklist/S46231167,
durham,5,2018,https://ebird.org/checklist/S46337127,
durham,6,2019,https://ebird.org/checklist/S56622883,
durham,5,2019,https://ebird.org/checklist/S56778629,
durham,3,2019,https://ebird.org/checklist/S57390667,
orange,12,2015,https://ebird.org/checklist/S24083367,
orange,12,2016,https://ebird.org/checklist/S29843524,
orange,8,2017,https://ebird.org/checklist/S37031309,
orange,2,2017,https://ebird.org/checklist/S37211310,"stop 5=1, stop 9=18"
orange,1,2017,https://ebird.org/checklist/S37213429,
orange,12,2017,https://ebird.org/checklist/S37340636,
orange,3,2017,https://ebird.org/checklist/S37406404,st 6 OR st14=2;st 18=1;
orange,10,2017,https://ebird.org/checklist/S37523618,st 6 OR st14=2;st 18=1;
orange,11,2017,https://ebird.org/checklist/S37797061,"1=, 2=, 3="
orange,12,2018,https://ebird.org/checklist/S46295712,",,,,,1,,,"
orange,1,2018,https://ebird.org/checklist/S55250475,
orange,11,2018,https://ebird.org/checklist/S46247520,
orange,1,2019,https://ebird.org/checklist/S56446906,
orange,4,2019,https://ebird.org/checklist/S56754478,
orange,12,2019,https://ebird.org/checklist/S57003189,
orange,6,2019,https://ebird.org/checklist/S57275235,
orange,9,2019,https://ebird.org/checklist/S57292497,
orange,11,2019,https://ebird.org/checklist/S57685632,
orange,6,2020,https://ebird.org/checklist/S70215462,
orange,9,2020,https://ebird.org/checklist/S70222185,
orange,11,2020,https://ebird.org/checklist/S70500458,
orange,11,2021,https://ebird.org/checklist/S89966651,
