common_name,exception,species_code,alt_code,conflict_with,comment
Black-bellied Whistling-Duck,,BBWD,,,**conversion table taken from carolinabirdclub.org/bandcodes.html
Fulvous Whistling-Duck,,FUWD,,,
Greater White-fronted Goose,,GWFG,,,
Snow Goose,,SNGO,,,BBL uses specific codes for different forms of Snow Goose
Ross's Goose,,ROGO,,,
Brant,,BRAN,,,BBL uses ATBR for Atlantic Brant
Barnacle Goose,*,BRNG,BARG,Barrow's Goldeneye BAGO,
Cackling Goose,*,CACG,,Canada Goose CANG,
Canada Goose,*,CAGO,CANG,Cackling Goose CACG,
Mute Swan,,MUSW,,,
Trumpeter Swan,*,TRUS,,Tree Swallow TRES,
Tundra Swan,,TUSW,,,BBL uses WHSW for Whistling Swan
Wood Duck,,WODU,,,
Gadwall,,GADW,,,
Eurasian Wigeon,,EUWI,,,
American Wigeon,,AMWI,,,
American Black Duck,,ABDU,,,
Mallard,,MALL,,,
Mottled Duck,,MODU,,,
Blue-winged Teal,,BWTE,,,
Cinnamon Teal,,CITE,,,
Northern Shoveler,*,NSHO,,Northern Shrike NSHR,
Northern Pintail,,NOPI,,,
White-cheeked Pintail,*,WHIP,WCHP,White-crowned Pigeon WCPI,
Garganey,,GARG,,,
Green-winged Teal,,GWTE,,,BBL uses AGWT for American Green-winged Teal
Canvasback,,CANV,,,
Redhead,,REDH,,,
Ring-necked Duck,,RNDU,,,
Tufted Duck,,TUDU,,,
Greater Scaup,,GRSC,,,
Lesser Scaup,,LESC,,,
King Eider,,KIEI,,,
Common Eider,,COEI,,,
Harlequin Duck,*,HARD,HADU,Hawaiian Duck HAWD,
Surf Scoter,,SUSC,,,
White-winged Scoter,,WWSC,,,
Black Scoter,,BLSC,,,
Long-tailed Duck,,LTDU,,,
Bufflehead,,BUFF,,,
Common Goldeneye,,COGO,,,
Hooded Merganser,,HOME,,,
Common Merganser,,COME,,,
Red-breasted Merganser,,RBME,,,
Masked Duck,,MADU,,,
Ruddy Duck,,RUDU,,,
Northern Bobwhite,,NOBO,,,BBL provides no codes for gallinaceous birds
Ring-necked Pheasant,*,RNEP,,Red-necked Phalarope RNPH,BBL provides no codes for gallinaceous birds
Ruffed Grouse,,RUGR,,,BBL provides no codes for gallinaceous birds
Wild Turkey,,WITU,,,BBL provides no codes for gallinaceous birds
Red-throated Loon,,RTLO,,,
Pacific Loon,,PALO,,,
Common Loon,,COLO,,,
Pied-billed Grebe,,PBGR,,,
Horned Grebe,,HOGR,,,
Red-necked Grebe,,RNGR,,,
Eared Grebe,,EAGR,,,
Western Grebe,,WEGR,,,
Clark's Grebe,,CLGR,,,
Yellow-nosed Albatross,,YNAL,,,
Black-browed Albatross,,BBAL,,,
Northern Fulmar,,NOFU,,,
Herald Petrel,,HEPE,,,BBL provides no code
Fea's Petrel,,FEPE,,,BBL provides no code
Bermuda Petrel,,BEPE,,,BBL provides no code
Black-capped Petrel,,BCPE,,,
Bulwer's Petrel,,BUPE,,,
Cory's Shearwater,,COSH,,,
Cape Verde Shearwater,,CVSH,,,BBL provides no code
Great Shearwater,,GRSH,,,
Sooty Shearwater,,SOSH,,,
Manx Shearwater,,MASH,,,
Audubon's Shearwater,,AUSH,,,
Little Shearwater,,LISH,,,
Wilson's Storm-Petrel,,WISP,,,
White-faced Storm-Petrel,,WFSP,,,
European Storm-Petrel,,EUSP,,,BBL provides no code
Black-bellied Storm-Petrel,,BBSP,,,BBL provides no code
Swinhoe's Storm-Petrel,*,SSTP,,Swamp Sparrow SWSP,BBL provides no code
Leach's Storm-Petrel,*,LHSP,LESP,Least Storm-Petrel LTSP,
Band-rumped Storm-Petrel,*,BANP,BSTP,Brewer's Sparrow BRSP,
White-tailed Tropicbird,,WTTR,,,
Red-billed Tropicbird,,RBTR,,,
Masked Booby,,MABO,,,
Brown Booby,,BRBO,,,
Red-footed Booby,,RFBO,,,
Northern Gannet,,NOGA,,,
American White Pelican,,AWPE,,,
