mbbs_county,route_num,year,S,N,observers,month,day
chatham,1,2000,34,220,Patricia Bailey and Marsha Stephens,6,11
chatham,1,2001,48,337,Patricia Bailey and Marsha Stephens,6,9
chatham,1,2002,47,373,Marsha Stephens and Patsy Bailey,6,9
chatham,1,2003,48,374,Patsy Bailey and Marsha Stephens,6,9
chatham,1,2004,37,210,Patsy Bailey and Marsha Stephens,6,13
chatham,1,2005,41,250,Patsy Bailey and Marsha Stephens,6,19
chatham,1,2006,41,300,Patsy Bailey and Marsha Stephens,6,18
chatham,1,2007,44,283,Patsy Bailey,6,17
chatham,1,2008,47,284,Patsy Bailey,5,25
chatham,1,2009,36,181,Patsy Bailey,6,11
chatham,1,2010,40,251,Patsy Bailey,6,5
chatham,1,2011,50,246,"Patsy Bailey, Norman Budnitz",6,5
chatham,1,2012,45,392,Patsy Bailey,6,3
chatham,1,2013,44,294,Patsy Bailey,5,26
chatham,1,2014,43,288,Patsy Bailey,5,26
chatham,1,2015,47,272,Patsy Bailey,5,17
chatham,1,2016,34,204,Patsy Bailey,5,22
chatham,1,2017,47,266,Patsy Bailey,6,4
chatham,1,2018,40,214,Patsy Bailey,5,28
chatham,1,2019,41,235,Patsy Bailey,5,27
chatham,1,2020,39,213,Patsy Bailey,5,25
chatham,1,2021,44,248,Patsy Bailey,6,6
chatham,1,2022,39,239,Patsy Bailey,5,22
chatham,1,2023,33,146,Patsy Bailey,5,28
chatham,1,2024,42,192,Patsy Bailey,6,16
chatham,2,2000,45,297,Norm Budnitz & Mike Schultz,5,28
chatham,2,2001,51,347,Norm Budnitz & Mike Schultz,6,3
chatham,2,2002,52,327,Norm Budnitz & Mike Schultz,5,26
chatham,2,2003,40,291,Norm Budnitz & Mike Schultz,6,11
chatham,2,2004,51,269,Norm Budnitz and Mike Schultz,5,23
chatham,2,2005,54,299,Norm Budnitz and Mike Schultz,5,22
chatham,2,2006,48,245,Norm Budnitz and Mike Schultz,6,13
chatham,2,2007,43,302,Norm Budnitz and Mike Schultz,5,20
chatham,2,2008,51,305,Norm Budnitz and Mike Schultz,5,25
chatham,2,2009,47,299,Norm Budnitz and Mike Schultz,5,31
chatham,2,2010,45,264,"N. Budnitz, M. Schultz",6,20
chatham,2,2011,53,274,"Norm Budnitz, Mike Schultz",5,15
chatham,2,2012,53,337,"Norm Budnitz, Mike Schultz",5,20
chatham,2,2013,46,262,"Norman Budnitz, Mike Schultz",6,19
chatham,2,2014,43,291,"Norman Budnitz, Mike Schultz",6,15
chatham,2,2015,45,261,"Norman Budnitz, Mike Schultz",5,17
chatham,2,2016,57,288,"Norman Budnitz, Mike Schultz",5,15
chatham,2,2017,48,284,"Norman Budnitz, Mike Schultz",5,29
chatham,2,2018,53,302,"Norman Budnitz, Mike Schultz",5,27
chatham,2,2019,48,299,"Norman Budnitz, Mike Schultz, Karen Hogan",5,19
chatham,2,2020,52,444,Norm Budnitz,5,25
chatham,2,2021,43,230,"Norm Budnitz, Mike Schultz",5,16
chatham,2,2022,43,214,"Norm Budnitz, Mike Schultz",5,29
chatham,2,2023,40,157,"Norm Budnitz, Mike Schultz",5,27
chatham,2,2024,46,201,"Mike Schultz, Norm Budnitz",5,25
chatham,3,2000,48,261,Haven and Minna Wiley,6,3
chatham,3,2001,48,228,Haven and Minna Wiley,6,10
chatham,3,2002,49,253,Haven and Minna Wiley,6,2
chatham,3,2003,42,251,Haven and Minna Wiley,6,8
chatham,3,2004,44,248,Haven and Minna Wiley,5,31
chatham,3,2005,49,325,Haven and Minna Wiley,5,15
chatham,3,2006,40,237,Haven and Minna Wiley,6,18
chatham,3,2007,44,230,Haven and Minna Wiley (6-10-2007 and 6-14-2007),6,17
chatham,3,2008,41,235,Haven and Minna Wiley,6,15
chatham,3,2009,44,381,Haven and Minna Wiley,6,21
chatham,3,2010,47,248,Haven Wiley,5,30
chatham,3,2011,46,251,Haven Wiley,6,18
chatham,3,2012,49,257,Haven Wiley,6,3
chatham,3,2013,42,218,Haven Wiley,6,9
chatham,3,2014,41,244,Haven Wiley,6,15
chatham,3,2015,39,211,Haven Wiley,5,17
chatham,3,2016,41,229,Haven Wiley,6,5
chatham,3,2017,37,186,Haven Wiley,6,4
chatham,3,2018,38,186,Haven Wiley,6,3
chatham,3,2019,41,216,Haven Wiley,6,9
